,identifiers,country,gender,age,stratum,education,efficacy1,efficacy2,efficacy3,efficacy4,efficacy5,efficacy6,efficacy7,efficacy8,PVMATH1,PVMATH2,PVMATH3,PVMATH4,PVMATH5
0,TUR7920000TUR00311079200000000100001,TUR,2.0,16.0,31.0,2,3.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,489.4921,466.9029,452.1031,458.3346,501.9551
1,TUR7920000TUR00311079200000000100002,TUR,2.0,16.25,31.0,2,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,493.1531,511.8476,489.2585,450.3116,517.3002
2,TUR7920000TUR00311079200000000100003,TUR,1.0,16.17,31.0,2,2.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,459.4251,470.3303,466.4356,460.983,460.2041
3,TUR7920000TUR00311079200000000100004,TUR,2.0,15.58,31.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,500.3194,514.3402,510.4456,526.0243,474.6144
4,TUR7920000TUR00311079200000000100005,TUR,1.0,15.83,31.0,2,1.0,2.0,1.0,1.0,2.0,3.0,4.0,4.0,541.5252,514.2623,516.5992,524.3885,504.1362
5,TUR7920000TUR00311079200000000100006,TUR,1.0,16.25,31.0,2,3.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,518.3128,544.0178,508.1866,497.2815,500.3973
6,TUR7920000TUR00311079200000000100007,TUR,1.0,16.0,31.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,495.1005,484.9743,448.3642,468.6166,432.7855
7,TUR7920000TUR00311079200000000100008,TUR,2.0,16.17,31.0,2,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,522.0517,539.9673,466.7472,454.2842,487.7785
8,TUR7920000TUR00311079200000000100009,TUR,1.0,15.75,31.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,417.9078,474.7702,413.2341,471.6545,425.6971
9,TUR7920000TUR00311079200000000100010,TUR,1.0,16.0,31.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,497.2036,526.8032,557.1818,590.6761,547.0556
10,TUR7920000TUR00311079200000000100011,TUR,2.0,16.0,31.0,2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,486.3764,494.1658,503.513,498.0604,489.4921
11,TUR7920000TUR00311079200000000100012,TUR,2.0,15.92,31.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,521.2728,525.9464,529.8411,487.7785,482.3259
12,TUR7920000TUR00311079200000000100013,TUR,1.0,15.67,31.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,436.3686,475.3155,465.1893,456.621,448.0527
13,TUR7920000TUR00311079200000000100014,TUR,2.0,16.17,31.0,2,1.0,2.0,2.0,9.0,1.0,1.0,1.0,2.0,507.2519,461.2946,476.8733,485.4417,487.7785
14,TUR7920000TUR00311079200000000100015,TUR,2.0,15.75,31.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,440.1854,412.9226,361.5127,416.8173,388.7755
15,TUR7920000TUR00311079200000000100016,TUR,1.0,16.25,31.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,494.9447,505.0709,451.3242,450.5453,478.587
16,TUR7920000TUR00311079200000000100017,TUR,1.0,15.5,31.0,2,2.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,453.9726,489.8037,470.3303,447.7411,450.8568
17,TUR7920000TUR00311079200000000100018,TUR,2.0,15.58,31.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,513.7171,521.5065,524.6222,494.2437,498.9173
18,TUR7920000TUR00311079200000000100019,TUR,2.0,15.83,31.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,409.9626,381.1419,409.1837,420.8677,399.0575
19,TUR7920000TUR00311079200000000100020,TUR,1.0,16.08,31.0,2,2.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,415.2594,433.1749,465.8903,483.8059,420.7119
20,TUR7920000TUR00311079200000000100021,TUR,1.0,16.25,31.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,444.7032,418.2193,445.4822,463.3977,502.3446
21,TUR7920000TUR00311079200000000100022,TUR,2.0,16.0,31.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,462.9304,488.6353,481.6249,468.3829,416.1941
22,TUR7920000TUR00311079200000000100023,TUR,1.0,16.17,31.0,2,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,501.0983,532.2558,542.382,523.6875,539.2662
23,TUR7920000TUR00311079200000000100024,TUR,2.0,15.83,31.0,2,3.0,3.0,3.0,2.0,3.0,1.0,3.0,4.0,465.2672,451.2463,486.2985,464.4882,529.1401
24,TUR7920000TUR00311079200000000100025,TUR,1.0,15.83,31.0,2,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,526.1022,469.2398,534.6705,555.7018,499.6183
25,TUR7920000TUR00311079200000000100026,TUR,1.0,15.67,31.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,491.05,416.272,398.3564,441.198,413.1563
26,TUR7920000TUR00311079200000000100027,TUR,1.0,15.92,31.0,2,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,377.1693,420.7898,356.917,378.7272,364.7063
27,TUR7920000TUR00311079200000000100028,TUR,1.0,16.0,31.0,2,3.0,4.0,4.0,1.0,1.0,4.0,1.0,4.0,450.9347,441.5875,415.1036,447.04,416.6615
28,TUR7920000TUR00311079200000000100029,TUR,1.0,15.58,31.0,2,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,453.5052,463.6314,449.6105,447.2737,440.2633
29,TUR7920000TUR00311079200000000100030,TUR,2.0,15.58,31.0,2,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,530.8537,502.033,463.0862,517.6118,500.4752
30,TUR7920000TUR00311079200000000100031,TUR,2.0,15.83,31.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,474.225,431.3834,476.5618,436.836,461.762
31,TUR7920000TUR00311079200000000100032,TUR,2.0,15.92,31.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,553.9882,557.8828,589.0403,575.0195,544.6409
32,TUR7920000TUR00311079200000000100033,TUR,1.0,15.5,31.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,483.6501,495.3342,478.9765,533.5021,464.1767
33,TUR7920000TUR00311079200000000100034,TUR,2.0,16.08,31.0,2,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,543.9399,528.3611,561.0765,572.7606,579.771
34,TUR7920000TUR00311079200000000100035,TUR,1.0,15.5,31.0,2,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,490.4269,482.6375,502.1109,483.4164,493.5426
35,TUR7920000TUR00281079200000000200036,TUR,2.0,15.92,28.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,447.4295,495.7236,481.7028,498.0604,497.2815
36,TUR7920000TUR00281079200000000200037,TUR,2.0,15.83,28.0,2,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,608.9811,535.761,572.3711,579.3815,585.613
37,TUR7920000TUR00281079200000000200038,TUR,2.0,15.75,28.0,2,2.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,454.4399,504.2919,497.2815,525.3233,445.8716
38,TUR7920000TUR00281079200000000200039,TUR,2.0,16.08,28.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,479.2881,532.2558,481.6249,468.3829,500.3194
39,TUR7920000TUR00281079200000000200040,TUR,1.0,15.58,28.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,393.6049,411.5205,413.0784,416.973,362.4474
40,TUR7920000TUR00281079200000000200041,TUR,1.0,15.92,28.0,2,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,423.9835,436.4465,449.6884,447.3516,445.7937
41,TUR7920000TUR00281079200000000200042,TUR,2.0,15.92,28.0,2,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,480.3007,463.164,504.4477,509.9003,490.4269
42,TUR7920000TUR00281079200000000200043,TUR,2.0,15.5,28.0,2,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,468.3829,434.1097,458.2567,469.9408,480.067
43,TUR7920000TUR00281079200000000200044,TUR,1.0,16.25,28.0,2,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,437.9265,440.2633,412.2215,389.6323,432.4739
44,TUR7920000TUR00281079200000000200045,TUR,1.0,15.33,28.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,442.8338,431.1497,446.7285,446.7285,420.2446
45,TUR7920000TUR00281079200000000200046,TUR,2.0,15.75,28.0,2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,485.5196,434.1097,459.8146,476.9512,445.0148
46,TUR7920000TUR00281079200000000200047,TUR,1.0,15.83,28.0,2,1.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,544.7188,478.5091,493.3089,508.1087,480.067
47,TUR7920000TUR00281079200000000200048,TUR,2.0,15.5,28.0,2,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,403.6532,420.7898,424.6845,463.6314,435.5897
48,TUR7920000TUR00281079200000000200049,TUR,1.0,16.08,28.0,2,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,490.6605,513.2497,515.5865,543.6283,490.6605
49,TUR7920000TUR00281079200000000200050,TUR,2.0,16.0,28.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,542.3041,553.9882,585.9246,515.8202,532.1779
50,TUR7920000TUR00281079200000000200051,TUR,1.0,15.92,28.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,486.9216,551.5735,497.8268,540.6683,534.4368
51,TUR7920000TUR00281079200000000200052,TUR,2.0,16.17,28.0,2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,534.5147,529.0622,518.157,548.5356,508.8098
52,TUR7920000TUR00281079200000000200053,TUR,1.0,15.42,28.0,2,1.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,524.5443,429.5139,517.5339,489.4921,434.1876
53,TUR7920000TUR00281079200000000200054,TUR,2.0,16.08,28.0,2,2.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,458.4125,506.7067,438.9391,498.9173,481.7807
54,TUR7920000TUR00281079200000000200055,TUR,1.0,15.67,28.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,484.429,451.7137,445.4822,475.0818,480.5344
55,TUR7920000TUR00281079200000000200056,TUR,2.0,15.33,28.0,2,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,504.9151,406.769,452.7263,460.5157,456.621
56,TUR7920000TUR00281079200000000200057,TUR,2.0,15.42,28.0,2,2.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,507.2519,468.305,505.694,519.7149,467.5261
57,TUR7920000TUR00281079200000000200058,TUR,1.0,15.67,28.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,521.5844,534.0474,561.3102,504.4477,518.4686
58,TUR7920000TUR00281079200000000200059,TUR,2.0,16.25,28.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,563.8028,550.5608,560.687,573.15,566.9185
59,TUR7920000TUR00281079200000000200060,TUR,1.0,15.5,28.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,399.7585,423.9056,406.769,368.601,362.3695
60,TUR7920000TUR00281079200000000200061,TUR,2.0,15.75,28.0,2,3.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,530.3085,558.3502,558.3502,546.6661,517.8455
61,TUR7920000TUR00281079200000000200062,TUR,1.0,15.5,28.0,2,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,506.3951,514.9634,555.4681,492.3742,482.248
62,TUR7920000TUR00281079200000000200063,TUR,1.0,15.67,28.0,2,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,518.2349,537.7084,529.919,540.8241,526.8032
63,TUR7920000TUR00281079200000000200064,TUR,1.0,15.92,28.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,444.9369,455.842,463.6314,384.1798,483.8838
64,TUR7920000TUR00281079200000000200065,TUR,2.0,15.42,28.0,2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,448.2863,458.4125,453.7389,452.181,425.6971
65,TUR7920000TUR00281079200000000200066,TUR,1.0,15.33,28.0,2,1.0,3.0,4.0,1.0,1.0,4.0,1.0,1.0,454.5957,419.5435,417.9857,422.6593,393.8386
66,TUR7920000TUR00281079200000000200067,TUR,1.0,15.75,28.0,2,1.0,1.0,1.0,4.0,1.0,4.0,1.0,3.0,503.513,564.2701,548.6914,551.0282,500.3973
67,TUR7920000TUR00281079200000000200068,TUR,1.0,15.42,28.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,447.4295,415.4931,435.7454,389.0092,408.4826
68,TUR7920000TUR00371079200000000300069,TUR,1.0,15.67,37.0,2,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,540.0452,445.0148,457.4778,455.9199,471.4987
69,TUR7920000TUR00371079200000000300070,TUR,1.0,16.17,37.0,2,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,304.7282,314.8543,331.991,272.0128,359.2538
70,TUR7920000TUR00371079200000000300071,TUR,2.0,15.67,37.0,2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,475.4713,476.2502,405.3669,427.9561,391.346
